Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre,Expérience numérique
Howmet Aerospace recrute Plusieurs Profils,Howmet Aerospace,Casablanca,Aéronautique,Anapec,Bac+2,Non spécifié,5S,Non spécifié,"Communication, Organisation, Organisation",https://www.dreamjob.ma/emploi/howmet-aerospace-recrute-plusieurs-profils/,
Coca Cola recrute Plusieurs Profils pour 2024,Coca Cola,Non spécifié,"Logistique, Énergie",Non spécifié,Bac+2,5 ans,"5S, Automatisme, GMAO, SAP",Non spécifié,"Adaptabilité, Autonomie, Communication, Flexibilité, Gestion de projet, Leadership, Organisation, Polyvalence, Relationnel, Rigueur, Réactivité, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/coca-cola-recrute-plusieurs-profils-pour-2024/,5.0
Inwi recrute des Responsables Data Centers,Inwi,Casablanca,Énergie,Non spécifié,Bac+5,5 ans,Non spécifié,Non spécifié,Communication,https://www.dreamjob.ma/emploi/inwi-recrute-responsables-data-centers/,5.0
Campagne de Recrutement chez Sunwoda EVB,Non spécifié,Tanger,"Automobile, Logistique, Énergie",Non spécifié,Bac+2,3 ans,"Automatisme, ERP, SAP",Non spécifié,Innovation,https://www.dreamjob.ma/emploi/campagne-recrutement-sunwoda-evb/,3.0
Huawei recrute des Stagiaires Rémunérés sur Casablanca,Huawei,Casablanca,Énergie,Stage,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais","Communication, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/stage/huawei-recrute-stagiaires-remuneres/,
LUSEO Group recrute des Techniciens Bâtiments,LUSEO Group,Rabat,Construction,CDI,Non spécifié,Non spécifié,Modélisation,Français,Non spécifié,https://www.dreamjob.ma/emploi/luseo-group-recrute-techniciens-batiments/,
Opportunités de Carrière à la Compagnie Industrielle des Fibres,Non spécifié,Tanger,"Agroalimentaire, Construction",Stage,Bac+2,2 à 5 ans,Excel,Non spécifié,"Autonomie, Communication, Leadership",https://www.dreamjob.ma/emploi/opportunites-de-carriere-a-la-compagnie-industrielle-des-fibres/,3.5
Compagnie Industrielle des Fibres recrute Plusieurs Profils,Compagnie Industrielle des Fibres,Tanger,"Agroalimentaire, Construction, Énergie",Non spécifié,Bac+3,1 an,"Automatisme, Excel",Non spécifié,Leadership,https://www.dreamjob.ma/emploi/compagnie-industrielle-des-fibres-recrute-plusieurs-profils/,1.0
Lesaffre recrute à Casablanca et Fès dès maintenant,Lesaffre,Casablanca,Agroalimentaire,Non spécifié,Bac+2,7 à 10 ans,Non spécifié,"Français, Anglais","Autonomie, Innovation, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/lesaffre-recrute-a-casablanca-et-fes-des-maintenant/,8.5
Opportunités de Carrière en Allemagne: l’Anapec Recrute (50) Techniciens,Opportunités de Carrière en Allemagne: l’Anapec,Non spécifié,"Automobile, Construction, Métallurgie",CDI,Non spécifié,2 ans,Non spécifié,"Français, Anglais","Autonomie, Autonomie, Communication, Travail en équipe",https://www.dreamjob.ma/emploi/opportunites-de-carriere-en-allemagne-lanapec-recrute-50-techniciens/,2.0
Recrutement de (41) Postes chez Bank Al Maghrib,Non spécifié,Non spécifié,"Chimie, Procédés",Non spécifié,Bac+4,2 ans,Automatisme,Anglais,"Autonomie, Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi-public/recrutement-de-41-postes-chez-bank-al-maghrib/,2.0
Coca Cola recrute Plusieurs Profils 2023,Coca Cola,Casablanca,"Agroalimentaire, Logistique",Non spécifié,Bac+2,3 ans,"GMAO, SAP","Français, Anglais",Communication,https://www.dreamjob.ma/emploi/coca-cola-recrute-plusieurs-profils-2023/,3.0
Concours Bank Al Maghrib 2022 (18 Postes),Non spécifié,Non spécifié,Logistique,Non spécifié,Bac+5,2 ans,"Automatisme, ERP",Anglais,"Autonomie, Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi-public/concours-bank-al-maghrib-2022-18-postes/,2.0
Coca Cola recrute chef de projet IT et mécanicien,Coca Cola,Casablanca,Non spécifié,Non spécifié,Bac+2,5 ans,"GMAO, SAP",Anglais,"Adaptabilité, Communication, Gestion de projet, Organisation, Travail en équipe",https://www.dreamjob.ma/emploi/coca-cola-recrute-chef-de-projet-it-et-mecanicien/,5.0
3 postes ouverts chez Faurecia à Rabat,Non spécifié,Rabat,"Automobile, Logistique",Non spécifié,Non spécifié,2 à 5 ans,"5S, APQP, Lean, Lean manufacturing, SAP",Anglais,"Autonomie, Gestion de projet, Leadership, Organisation, Réactivité, Résolution de problèmes",https://www.dreamjob.ma/emploi/3-postes-ouverts-chez-faurecia-a-rabat/,3.5
TotalEnergies ouvre plusieurs postes techniques au Maroc,TotalEnergies,Non spécifié,"Aéronautique, Chimie, Énergie",CDI,Bac+2,5 ans,"Automatisme, Excel",Français,"Communication, Force de proposition, Initiative, Innovation, Polyvalence, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/totalenergies-ouvre-plusieurs-postes-techniques-au-maroc/,5.0
Gestamp ouvre 5 postes à Kénitra,Gestamp,Kénitra,Automobile,Stage,Non spécifié,Non spécifié,SAP,Anglais,"Communication, Innovation, Organisation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/gestamp-ouvre-5-postes-a-kenitra/,
8 nouvelles opportunités ouvertes avec l’ANAPEC,Non spécifié,Youssoufia,"Construction, Construction, Logistique, Procédés",CDI,Bac+2,3 ans,Autocad,"Français, Anglais","Communication, Leadership, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/7-nouvelles-opportunites-ouvertes-avec-lanapec/,3.0
Bel propose de nouveaux postes à Casablanca et Tanger,Non spécifié,Casablanca,Agroalimentaire,Non spécifié,Bac+5,4 à 5 ans,"5S, Automatisme, Robotique, SAP",Non spécifié,"Autonomie, Communication, Innovation, Leadership, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/bel-propose-de-nouveaux-postes-a-casablanca-et-tanger/,4.5
Gestamp ouvre 7 opportunités dans l’automobile,Gestamp,Kénitra,Automobile,CDI,Non spécifié,Non spécifié,SAP,Anglais,"Communication, Force de proposition, Innovation, Leadership, Organisation, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/gestamp-ouvre-7-opportunites-dans-lautomobile/,
Nouvelles opportunités chez Bel dès maintenant,Non spécifié,Casablanca,Agroalimentaire,Non spécifié,Bac+5,5 ans,"Automatisme, Robotique",Non spécifié,"Autonomie, Innovation, Rigueur",https://www.dreamjob.ma/emploi/nouvelles-opportunites-chez-bel-des-maintenant/,5.0
5 Opportunités aéronautiques disponibles chez Atlas Defense à Benslimane,Non spécifié,Non spécifié,Aéronautique,CDI,Bac+2,2 à 5 ans,ERP,"Français, Anglais, Arabe","Autonomie, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/5-opportunites-aeronautiques-disponibles-chez-atlas-defense-a-benslimane/,3.5
TE Connectivity recherche 5 nouveaux profils à tanger,Non spécifié,Tanger,"Automobile, Logistique, Plasturgie, Énergie",CDI,Bac+2,2 ans,"5S, ERP, SAP",Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/te-connectivity-recherche-5-nouveaux-profils-a-tanger/,2.0
Opportunités d’emploi industriel chez SOMADIR à Casablanca,Non spécifié,Casablanca,Agroalimentaire,CDI,Bac+2,3 ans,Non spécifié,Non spécifié,"Autonomie, Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-demploi-industriel-chez-somadir-a-casablanca/,3.0
Opportunités chez Emirates Logistics Morocco à Tanger MED,Non spécifié,Tanger,Logistique,CDI,Bac+2,3 ans,GMAO,"Français, Anglais, Arabe","Autonomie, Organisation, Relationnel, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/opportunites-chez-emirates-logistics-morocco-a-tanger-med/,3.0
Fondation Zakoura recrute plusieurs profils à Casablanca et Settat,Fondation Zakoura,Casablanca,Non spécifié,CDI,Bac+3,2 ans,Non spécifié,"Français, Arabe","Organisation, Proactivité, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/fondation-zakoura-recrute-plusieurs-profils-a-casablanca-et-settat/,2.0
5 Offres d’emploi chez Samsic Casablanca et Rabat à saisir,Non spécifié,Casablanca,Non spécifié,CDI,Bac+2,2 ans,GMAO,"Français, Anglais","Autonomie, Communication, Innovation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/5-offres-demploi-chez-samsic-casablanca-et-rabat-a-saisir/,2.0
MADREX Engineering ouvre des stages PFE à Mohammedia,MADREX Engineering,Mohammedia,Non spécifié,Stage,Bac+5,Non spécifié,"CAO, Modélisation",Non spécifié,"Autonomie, Innovation, Rigueur",https://www.dreamjob.ma/stage/madrex-engineering-ouvre-des-stages-pfe-a-mohammedia/,
Bontaz recrute 14 stagiaires PFE à El Jadida,Bontaz,El jadida,"Automobile, Logistique",Stage,Bac+5,Non spécifié,Non spécifié,"Français, Anglais","Innovation, Rigueur",https://www.dreamjob.ma/stage/bontaz-recrute-14-stagiaires-pfe-a-el-jadida/,
International Paper recrute à Tanger et Casablanca,International Paper,Casablanca,Non spécifié,Non spécifié,Bac+2,2 ans,"ERP, Excel, Modélisation, Python, SAP, SQL","Français, Anglais","Communication, Rigueur",https://www.dreamjob.ma/emploi/international-paper-recrute-a-tanger-et-casablanca/,2.0
Rotomoulage du Sud recrute à Casablanca des dessinateurs,Rotomoulage du Sud,Casablanca,Procédés,CDI,Bac+2,Non spécifié,"CATIA, Conception mécanique, NX",Non spécifié,Rigueur,https://www.dreamjob.ma/emploi/rotomoulage-du-sud-recrute-a-casablanca-des-dessinateurs/,
Airbus Atlantic Maroc recrute des Ajusteurs-Monteurs à Nouaceur,Airbus Atlantic Maroc,Casablanca,"Aéronautique, Construction, Procédés",Anapec,Bac+2,Non spécifié,Non spécifié,Non spécifié,"Créativité, Innovation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/airbus-atlantic-maroc-recrute-des-ajusteurs-monteurs-a-nouaceur/,
Leader Food recrute à Casablanca des techniciens expérimentés,Leader Food,Casablanca,Agroalimentaire,Non spécifié,Bac+2,2 ans,Automatisme,Non spécifié,"Innovation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/leader-food-recrute-a-casablanca-des-techniciens-experimentes/,2.0
Offres d’emploi SICDA Berrechid – Postulez dès maintenant !,Non spécifié,Berrechid,Chimie,Non spécifié,Bac+2,2 à 4 ans,GMAO,Non spécifié,Innovation,https://www.dreamjob.ma/emploi/offres-demploi-sicda-berrechid-postulez-des-maintenant/,3.0
Peugeot Citroën Maroc recrute à Kénitra – 140 Postes d’opérateurs à saisir,Peugeot Citroën Maroc,Kénitra,Automobile,Anapec,Bac+2,Non spécifié,Non spécifié,Non spécifié,Innovation,https://www.dreamjob.ma/emploi/peugeot-citroen-maroc-recrute-a-kenitra-140-postes-doperateurs-a-saisir/,
Airbus Atlantic ouvre des postes dans l’aéronautique,Airbus Atlantic,Casablanca,"Aéronautique, Construction, Procédés",Stage,Bac+2,Non spécifié,Non spécifié,Non spécifié,"Innovation, Rigueur",https://www.dreamjob.ma/emploi/airbus-atlantic-ouvre-des-postes-dans-laeronautique/,
SEBN recrute – nouvelles opportunités dans l’automobile à Bouknadel,SEBN,Non spécifié,"Automobile, Procédés",CDI,Bac+5,5 ans,ERP,"Français, Anglais","Communication, Innovation, Leadership, Rigueur",https://www.dreamjob.ma/emploi/sebn-recrute-nouvelles-opportunites-dans-lautomobile-a-bouknadel/,5.0
TI Fluid Systems recrute Plusieurs Postes,TI Fluid Systems,Tanger,"Automobile, Logistique",Stage,Bac+2,3 à 5 ans,"Conception mécanique, Excel, SOLIDWORKS",Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/ti-fluid-systems-recrute-plusieurs-postes/,4.0
SEI Groupe recrute des Dessinateurs Projeteurs Débutants,SEI Groupe,Casablanca,"Automobile, Aéronautique",CDI,Bac+2,Non spécifié,"CAO, Conception mécanique, DAO",Français,"Autonomie, Gestion de projet",https://www.dreamjob.ma/emploi/sei-groupe-recrute-des-dessinateurs-projeteurs/,
TE Connectivity recrute des CA Process Technicians,TE Connectivity,Tanger,"Automobile, Construction",Non spécifié,Non spécifié,2 ans,Conception mécanique,Non spécifié,Innovation,https://www.dreamjob.ma/emploi/te-connectivity-recrute-ca-process-technicians/,2.0
Vsolution Maroc recrute 10 Concepteurs CAD,Vsolution Maroc,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",CDI,Bac+2,3 ans,"CATIA, Conception mécanique","Français, Anglais","Autonomie, Innovation",https://www.dreamjob.ma/emploi/vsolution-maroc-recrute-concepteurs-cad/,3.0
24 Offres d’Emploi sur Plusieurs Villes – N°2 2023,Non spécifié,Casablanca,"Agroalimentaire, Automobile, Aéronautique, Chimie, Construction, Logistique",Stage,Bac+2,1 à 2 ans,"CAO, Conception mécanique","Français, Anglais","Autonomie, Communication, Créativité, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/offres-emploi-plusieurs-villes-n2-2023/,1.5
"28 Offres de Stages Rémunérés, Pré-Embauche et PFE",Non spécifié,Non spécifié,"Automobile, Aéronautique, Logistique, Plasturgie, Énergie",Stage,Bac+2,2 ans,"5S, CATIA, Conception mécanique, Excel, ICEM","Français, Anglais","Autonomie, Communication, Créativité, Initiative, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/stage/offres-stages-remuneres-pre-embauche-pfe/,2.0
Vsolution Maroc recrute des Chargés Développement Moteur,Vsolution Maroc,Casablanca,"Automobile, Aéronautique, Ferroviaire, Énergie",CDI,Bac+5,2 à 3 ans,"CATIA, Conception mécanique, Lean, Lean manufacturing","Français, Anglais","Autonomie, Communication, Innovation, Rigueur",https://www.dreamjob.ma/emploi/vsolution-maroc-recrute-des-charges-developpement-moteur/,2.5
TRIGO Maroc recrute des Résidents Qualité,TRIGO Maroc,Kénitra,"Automobile, Aéronautique",Non spécifié,Non spécifié,1 an,Conception mécanique,"Français, Anglais",Non spécifié,https://www.dreamjob.ma/emploi/trigo-recrute-des-residents-qualite/,1.0
Vsolution Maroc recrute Plusieurs Profils,Vsolution Maroc,Non spécifié,"Automobile, Aéronautique, Construction, Ferroviaire, Plasturgie, Énergie",Stage,Bac+2,2 ans,"APQP, CAO, CATIA, Conception mécanique, NX, SAP","Français, Anglais","Autonomie, Communication, Créativité, Force de proposition, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/vsolution-maroc-recrute-plusieurs-profils/,2.0
Nouvelles Offres d’Emploi chez Madrex Engineering,Non spécifié,Non spécifié,"Aéronautique, Logistique",Stage,Bac+5,2 à 3 ans,"CAO, CATIA, Conception mécanique, Modélisation, SAP",Français,Communication,https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-madrex-engineering/,2.5
Campagne de Recrutement Valeo,Non spécifié,Non spécifié,"Automobile, Logistique",Non spécifié,Bac+2,2 ans,"5S, AMDEC, Automatisme, CATIA, Conception mécanique, Kaizen, Lean","Français, Anglais","Communication, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/valeo-campagne-recrutement/,2.0
InnoVista Sensors recrute Plusieurs Profils,InnoVista Sensors,Non spécifié,"Aéronautique, Logistique, Procédés",Stage,Bac+2,3 à 5 ans,"5S, Automatisme, GMAO, PPAP","Français, Anglais","Communication, Innovation, Leadership, Organisation, Polyvalence, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/innovista-sensors-recrute-plusieurs-profils/,4.0
La Société Française Artus recrute Plusieurs Profils,La Société Française Artus,Non spécifié,Logistique,CDI,Non spécifié,10 ans,Conception mécanique,Français,Non spécifié,https://www.dreamjob.ma/emploi/la-societe-francaise-artus-recrute-plusieurs-profils/,10.0
"Bosch recrute en data, finance et commerce",Bosch,Casablanca,Non spécifié,Stage,Non spécifié,1 an,"ERP, Excel, Python, SAP, SQL","Français, Anglais, Arabe","Autonomie, Communication, Innovation, Organisation, Proactivité, Rigueur",https://www.dreamjob.ma/emploi/bosch-recrute-en-data-finance-et-commerce/,1.0
Maymana recrute 7 profils pour renforcer ses équipes,Maymana,Rabat,Non spécifié,CDI,Bac+2,2 ans,Lean,Non spécifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/maymana-recrute-7-profils-pour-renforcer-ses-equipes/,2.0
Recrutement BTP Maroc 2025 – Eurohinca lance une grande campagne d’embauche,Non spécifié,Casablanca,"Construction, Construction, Logistique",Non spécifié,Bac+3,5 ans,Non spécifié,"Français, Anglais","Autonomie, Leadership, Rigueur",https://www.dreamjob.ma/emploi/recrutement-btp-maroc-2025-eurohinca-lance-une-grande-campagne-dembauche/,5.0
Airbus Atlantic Maroc recrute à Casablanca: 2 postes à saisir dès maintenant,Airbus Atlantic Maroc,Casablanca,"Automobile, Aéronautique, Logistique, Procédés",Non spécifié,Bac+2,3 ans,"Excel, SAP, VBA","Français, Anglais",Rigueur,https://www.dreamjob.ma/emploi/airbus-atlantic-maroc-recrute-a-casablanca-2-postes-a-saisir-des-maintenant/,3.0
32 Postes à Pourvoir sur Plusieurs Villes,Non spécifié,Mohammedia,"Automobile, Aéronautique, Logistique",CDI,Bac+2,1 an,"Autocad, Modélisation","Français, Anglais, Arabe","Communication, Organisation, Proactivité",https://www.dreamjob.ma/emploi/32-postes-a-pourvoir-sur-plusieurs-villes/,1.0
Carrières dans l’énergie: Rejoignez Afriquia dès aujourd’hui,Non spécifié,Non spécifié,Énergie,Non spécifié,Bac+2,1 à 5 ans,Automatisme,"Français, Anglais","Communication, Gestion de projet, Innovation, Leadership, Organisation, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/carrieres-dans-lenergie-rejoignez-afriquia-des-aujourdhui/,3.0
De Nouvelles Opportunités Vous Attendent chez Stellantis,Non spécifié,Casablanca,Automobile,Non spécifié,Non spécifié,2 ans,"MATLAB, Python, Robotique, SIMULINK",Anglais,"Autonomie, Communication, Organisation, Résolution de problèmes",https://www.dreamjob.ma/emploi/de-nouvelles-opportunites-vous-attendent-chez-stellantis/,2.0
La SCIF Recrute des Acheteurs Projets en CDI,La SCIF,Non spécifié,Ferroviaire,CDI,Non spécifié,1 an,Non spécifié,Anglais,Innovation,https://www.dreamjob.ma/emploi/la-scif-recrute-des-acheteurs-projets-en-cdi/,1.0
FEV North Africa Recrute de Nouveaux Profils,FEV North Africa,Casablanca,Automobile,Non spécifié,Non spécifié,2 à 5 ans,"Modélisation, Python","Français, Anglais",Non spécifié,https://www.dreamjob.ma/emploi/fev-north-africa-recrute-de-nouveaux-profils/,3.5
Figeac Aero Recrute: (10) Postes de Programmeurs Tournage Disponibles,Figeac Aero,Casablanca,"Automobile, Aéronautique, Procédés",Non spécifié,Bac+2,1 à 3 ans,CAO,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/figeac-aero-recrute-10-postes-de-programmeurs-tournage-disponibles/,2.0
Opportunités chez SEGULA Technologies: Plusieurs Postes Ouverts,Non spécifié,Casablanca,"Automobile, Aéronautique, Ferroviaire, Naval, Énergie",Non spécifié,Bac+2,5 ans,"CATIA, SAP, SOLIDWORKS",Anglais,"Gestion de projet, Innovation, Leadership",https://www.dreamjob.ma/emploi/opportunites-chez-segula-technologies-plusieurs-postes-ouverts/,5.0
Bottu Embauche (7) Nouveaux Profils,Non spécifié,Casablanca,"Agroalimentaire, Logistique, Pharmaceutique",Non spécifié,Bac+3,5 à 8 ans,"Automatisme, SQL",Anglais,"Communication, Créativité, Flexibilité",https://www.dreamjob.ma/emploi/bottu-embauche-7-nouveaux-profils/,6.5
Tesca Recrute de Nouveaux Profils,Tesca,Tanger,Automobile,Non spécifié,Bac+5,3 ans,APQP,"Français, Anglais",Innovation,https://www.dreamjob.ma/emploi/tesca-maroc-recrute-de-nouveaux-profils/,3.0
(4) Opportunités de Carrière Disponibles chez LGM Group,Non spécifié,Casablanca,"Ferroviaire, Logistique",Non spécifié,Non spécifié,5 ans,AMDEC,"Français, Anglais","Autonomie, Innovation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/4-opportunites-de-carriere-disponibles-chez-lgm-group/,5.0
Bugshan Automotive Group Recrute Plusieurs Profils,Bugshan Automotive Group,Casablanca,Automobile,Non spécifié,Bac+3,4 ans,Excel,"Français, Anglais","Autonomie, Communication, Créativité, Innovation, Organisation, Polyvalence, Rigueur, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/bugshan-automotive-group-recrute-plusieurs-profils-2/,4.0
Air Liquide Recherche de Nouveaux Talents,Non spécifié,Casablanca,"Métallurgie, Procédés",Non spécifié,Bac+5,3 à 5 ans,GMAO,"Français, Anglais, Arabe","Communication, Flexibilité, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/air-liquide-recherche-de-nouveaux-talents/,4.0
(7) Opportunités d’Emploi Proposés par Artus,Non spécifié,Mohammedia,Logistique,Intérim,Non spécifié,3 ans,"Inventor, Modélisation, SOLIDWORKS",Anglais,"Communication, Gestion de projet, Organisation",https://www.dreamjob.ma/emploi/7-opportunites-demploi-proposes-par-artus/,3.0
ALTEN MAROC: De Nouvelles Opportunités Vous Attendent !,Non spécifié,Rabat,"Automobile, Aéronautique, Ferroviaire, Naval, Énergie",Non spécifié,Bac+2,1 à 3 ans,"APQP, CATIA, NX",Anglais,Innovation,https://www.dreamjob.ma/emploi/alten-maroc-de-nouvelles-opportunites-vous-attendent/,2.0
0 à 1 An d’Expérience ? Expleo vous Attend !,Non spécifié,Kénitra,Automobile,Non spécifié,Bac+5,1 an,Excel,"Français, Anglais","Communication, Flexibilité, Gestion de projet, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/0-a-1-an-dexperience-expleo-vous-attend/,1.0
Leoni Recrute: Stages et Emplois Disponibles !,Leoni,Agadir,"Automobile, Construction, Logistique, Énergie",Stage,Non spécifié,1 an,Non spécifié,"Français, Anglais","Autonomie, Communication, Innovation",https://www.dreamjob.ma/emploi/leoni-recrute-stages-et-emplois-disponibles/,1.0
Immédiatement: (5) Opportunités de Carrière chez Madrex Engineering,Non spécifié,Casablanca,Construction,Stage,Non spécifié,2 à 3 ans,"Modélisation, Python, SAP",Non spécifié,"Autonomie, Communication, Initiative, Travail en équipe",https://www.dreamjob.ma/emploi/immediatement-5-opportunites-de-carriere-chez-madrex-engineering/,2.5
Rejoignez l’aventure UTAC: (6) Opportunités de Carrière à Saisir,Non spécifié,Oued zem,Automobile,Non spécifié,Bac+3,3 ans,Non spécifié,Anglais,"Autonomie, Communication, Gestion de projet",https://www.dreamjob.ma/emploi/rejoignez-laventure-utac-6-opportunites-de-carriere-a-saisir/,3.0
Aptiv recherche Activement de Nouveaux Profils,Non spécifié,Kénitra,Automobile,Non spécifié,Non spécifié,2 ans,"Kaizen, SAP","Français, Anglais","Innovation, Proactivité, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/aptiv-recherche-activement-de-nouveaux-profils/,2.0
Aya Gold & Silver propose (8) Postes à Pourvoir,Non spécifié,Taroudant,Minier,Non spécifié,Bac+2,5 à 10 ans,"Automatisme, Excel","Français, Anglais","Autonomie, Communication, Innovation, Organisation, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/aya-gold-silver-propose-8-postes-a-pourvoir/,7.5
Bottu Agrandit son Équipe: (6) Postes à Pourvoir Maintenant,Non spécifié,Casablanca,"Agroalimentaire, Logistique, Pharmaceutique",Non spécifié,Bac+3,2 ans,"Automatisme, GMAO, SQL",Non spécifié,"Flexibilité, Innovation",https://www.dreamjob.ma/emploi/bottu-agrandit-son-equipe-6-postes-a-pourvoir-maintenant/,2.0
Rejoignez notre équipe Dynamique chez Groupe Tadlaoui,Non spécifié,Casablanca,"Automobile, Chimie",Non spécifié,Bac+2,1 an,"Excel, Modélisation","Français, Anglais","Autonomie, Communication, Créativité, Gestion de projet, Innovation, Leadership, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/rejoignez-notre-equipe-dynamique-chez-groupe-tadlaoui/,1.0
Neo Motors recrute actuellement des Designers Automobiles,Neo Motors,Rabat,Automobile,Non spécifié,Bac+3,Non spécifié,"Autocad, CFD, FEA, SOLIDWORKS",Non spécifié,"Autonomie, Communication, Organisation, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/neo-motors-recrute-actuellement-des-designers-automobiles/,
Offres de Stage en Marketing et Communication chez MADREX Engineering,Non spécifié,Rabat,Construction,Stage,Non spécifié,2 à 3 ans,Modélisation,Non spécifié,"Communication, Créativité, Initiative, Innovation, Organisation, Proactivité, Rigueur, Travail en équipe",https://www.dreamjob.ma/stage/offres-de-stage-en-marketing-et-communication-chez-madrex-engineering/,2.5
Opportunités de Carrière chez Hutchinson Maroc,Non spécifié,Tanger,"Automobile, Aéronautique, Logistique",Non spécifié,Bac+2,1 à 2 ans,Non spécifié,"Français, Anglais","Autonomie, Communication, Gestion de projet, Innovation, Leadership",https://www.dreamjob.ma/emploi/opportunites-de-carriere-chez-hutchinson-maroc/,1.5
Coficab recrute Activement pour Plusieurs Postes,Coficab,Tanger,"Automobile, Logistique",Non spécifié,Bac+2,3 ans,"AMDEC, APQP","Français, Anglais","Communication, Gestion de projet, Innovation, Organisation, Résolution de problèmes",https://www.dreamjob.ma/emploi/coficab-recrute-activement-pour-plusieurs-postes/,3.0
SOMADIR recrute Plusieurs Postes,SOMADIR,Casablanca,"Agroalimentaire, Procédés",Non spécifié,Bac+2,3 ans,Non spécifié,Non spécifié,"Innovation, Organisation, Travail en équipe",https://www.dreamjob.ma/emploi/somadir-recrute-plusieurs-postes/,3.0
Appel à Candidatures Autoroutes du Maroc 2024 (8 Postes),Non spécifié,Non spécifié,Construction,Stage,Bac+5,Non spécifié,"Autocad, ERP, Excel","Français, Anglais, Arabe","Adaptabilité, Autonomie, Communication, Relationnel, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi-public/appel-a-candidatures-autoroutes-du-maroc-2024-8-postes/,
Sabca Maroc recrute des Inspecteurs Qualité,Sabca Maroc,Casablanca,Aéronautique,Stage,Bac+2,3 ans,Non spécifié,"Français, Anglais",Travail en équipe,https://www.dreamjob.ma/emploi/sabca-maroc-recrute-des-inspecteurs-qualite/,3.0
SIMRA Maroc recrute Plusieurs Profils,SIMRA Maroc,Casablanca,"Aéronautique, Chimie",Stage,Bac+3,2 à 5 ans,Non spécifié,Français,Non spécifié,https://www.dreamjob.ma/emploi/simra-maroc-recrute-plusieurs-profils/,3.5
FEV offre de Nouvelles Opportunités d’Emploi,Non spécifié,Casablanca,Non spécifié,Stage,Bac+5,1 an,"MATLAB, SIMULINK","Français, Anglais","Créativité, Leadership, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/fev-offre-de-nouvelles-opportunites-demploi/,1.0
Maghreb Steel recrute Plusieurs Profils pour 2024,Maghreb Steel,Non spécifié,"Métallurgie, Procédés",Non spécifié,Bac+2,8 ans,"Lean, Lean manufacturing",Non spécifié,"Autonomie, Communication, Initiative, Innovation, Leadership, Organisation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/maghreb-steel-recrute-plusieurs-profils-pour-2024/,8.0
Construction Management Services recrute Plusieurs Profils pour 2024,Construction Management Services,Non spécifié,"Construction, Logistique, Énergie",Non spécifié,Bac+2,5 ans,"Autocad, CAO, DAO, ERP","Français, Anglais, Arabe","Communication, Force de proposition, Gestion de projet, Organisation",https://www.dreamjob.ma/emploi/construction-management-services-recrute-plusieurs-profils-pour-2024/,5.0
