Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre
37 Offres d’Emploi sur Plusieurs Villes – N°1 2023,Non spécifié,Salé,"Agroalimentaire, Automobile, Btp, Logistique",Stage,"Bac+2, bac+3, bac+5",1 an,"Automatisme, ERP, SAP","Français, Anglais, Arabe","Communication, Organisation",https://www.dreamjob.ma/emploi/offres-demploi-plusieurs-villes-n1-2023/
SNOP recrute Plusieurs Profils,SNOP,Tanger,"Automobile, Logistique",Stage,Bac+5,2 ans,"AMDEC, APQP, CATIA, ERP, SAP",Anglais,"Force de proposition, Innovation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/snop-recrute-plusieurs-profils/
Résultats Concours RADEEMA 2022 (30 postes),Non spécifié,Marrakech,"Automobile, Procédés",Non spécifié,"Bac+2, bac+3, bac+4",2 ans,Automatisme,Non spécifié,"Autonome, Autonomie, Organisation",https://www.dreamjob.ma/emploi-public/concours-recrutement-radeema-2022/
Centrale Danone recrute Plusieurs Profils,Centrale Danone,Non spécifié,"Logistique, Énergie",Non spécifié,"Bac+2, bac+5",70 ans,"Autocad, CATIA, Excel, VBA",Anglais,"Autonome, Autonomie, Communication, Créativité, Force de proposition, Gestion de projet, Initiative, Innovation, Leadership, Organisation, Proactivité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/centrale-danone-recrute-plusieurs-profils/
Nouvelles offres d’emploi chez Construction Management Services,Non spécifié,Non spécifié,"Btp, Construction, Énergie",Non spécifié,"Bac+2, bac+5",3 ans,"Autocad, DAO, Modélisation, Ms project","Français, Anglais, Arabe","Autonome, Autonomie, Communication, Force de proposition, Gestion de projet, Organisation, Organisé, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-construction-management-services/
Résultats Concours ONCF 2022 (127 Postes),Non spécifié,Non spécifié,"Construction, Ferroviaire, Logistique",Non spécifié,Non spécifié,15 ans,Non spécifié,"Français, Anglais, Arabe","Autonomie, Communication, Innovation",https://www.dreamjob.ma/emploi-public/concours-recrutement-oncf-2022/
Nouvelles Offres d’Emploi chez FEV,Non spécifié,Non spécifié,"Automobile, Btp",Stage,Bac+2,4 ans,"Automatisme, Excel, GMAO, MATLAB, SIMULINK","Français, Anglais",Non spécifié,https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-fev/
Nouvelles Offres d’Emploi chez Centrale Danone,Non spécifié,Non spécifié,"Logistique, Énergie",Non spécifié,"Bac+2, bac+5",70 ans,"Autocad, CATIA, Excel",Anglais,"Autonome, Autonomie, Communication, Force de proposition, Gestion de projet, Leadership, Organisation, Proactivité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-centrale-danone/
Lesaffre recrute Plusieurs Profils,Lesaffre,Errachidia,"Agroalimentaire, Automobile, Pharmaceutique",Intérim,"Bac+2, bac+3",2 an,"5S, Excel, Lean, Lean manufacturing, Robotique","Français, Anglais","Autonome, Autonomie, Communication, Gestion de projet, Innovation, Leadership, Organisation, Travail en équipe",https://www.dreamjob.ma/emploi/lesaffre-recrute-plusieurs-profils/
Concours de Recrutement ONHYM 2022 (9 Postes),Non spécifié,Non spécifié,"Minier, Procédés",Non spécifié,"Bac+2, bac+5",4 ans,Non spécifié,"Français, Anglais, Arabe","Autonome, Autonomie, Initiative, Leadership, Organisation, Organisé, Relationnel, Rigueur",https://www.dreamjob.ma/emploi-public/concours-recrutement-onhym-2022/
Proma Industrie recrute Plusieurs Profils,Proma Industrie,Kénitra,"Automobile, Chimie, Construction, Logistique, Procédés",Stage,"Bac+2, bac+3, bac+5",3 ans,"5S, Automatisme, ERP, SAP","Français, Anglais","Autonome, Autonomie, Communication, Flexibilité, Force de proposition, Initiative, Innovation, Leadership, Organisation, Polyvalence, Proactivité, Relationnel, Rigueur, Réactivité, Résolution de problèmes, Travail en équipe, Travailler en équipe",https://www.dreamjob.ma/emploi/proma-industries-recrute-plusieurs-profils/
Nouvelles Offres d’Emploi chez SEBN MA,Non spécifié,Salé,"Automobile, Construction, Logistique",Non spécifié,"Bac+2, bac+3, bac+5",4 ans,"Autocad, CAO, DAO, Excel, Kaizen, Lean, Lean manufacturing","Français, Anglais","Communication, Initiative, Leadership, Organisation, Travail en équipe",https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-sebn-ma/
Colas Maroc recrute Plusieurs Profils,Colas Maroc,Non spécifié,Logistique,Stage,"Bac+2, bac+5",2 ans,Modélisation,"Français, Anglais, Arabe","Créativité, Organisation, Rigueur",https://www.dreamjob.ma/emploi/colas-maroc-recrute-plusieurs-profils/
La Compagnie Marocaine de Plâtre et d’Enduit recrute Plusieurs Profils,La Compagnie Marocaine de Plâtre et d’Enduit,Casablanca,"Construction, Procédés",Non spécifié,"Bac+2, bac+4, bac+5",60 ans,Automatisme,Non spécifié,"Communication, Organisation, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/cmpe-recrute-plusieurs-profils/
Le Groupe Japonais JTEKT recrute Plusieurs Profils,Le Groupe Japonais JTEKT,Non spécifié,"Automobile, Construction, Logistique",CDI,"Bac+3, bac+5",10 ans,"5S, Automatisme, ERP, SAP","Français, Anglais","Communication, Polyvalence, Réactivité",https://www.dreamjob.ma/emploi/jtekt-recrute-plusieurs-profils/
Nouvelles Offres d’Emploi chez Marelli,Non spécifié,Non spécifié,"Automobile, Logistique",Non spécifié,"Bac+2, bac+5",2ans,"Automatisme, SAP","Français, Anglais",Innovation,https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-marelli/
Vinci Energies recrute Plusieurs Profils,Vinci Energies,Casablanca,"Construction, Énergie",Non spécifié,"Bac+2, bac+5",5 ans,"Autocad, Automatisme, Excel",Non spécifié,"Innovation, Organisation",https://www.dreamjob.ma/emploi/vinci-recrute-plusieurs-profils/
SNTM recrute Plusieurs Profils,SNTM,Non spécifié,"Btp, Construction",CDI,Bac+2,2 ans,Non spécifié,Non spécifié,Innovation,https://www.dreamjob.ma/emploi/sntm-recrute-plusieurs-profils/
Centrale Automobile Chérifienne recrute Plusieurs Profils,Centrale Automobile Chérifienne,Non spécifié,Automobile,Non spécifié,Bac+2,5 ans,Non spécifié,"Français, Anglais, Arabe","Communication, Force de proposition, Gestion de projet, Organisation",https://www.dreamjob.ma/emploi/centrale-automobile-cherifienne-recrute-plusieurs-profils/
Anapec Skills: Recrutement de 14 Postes en France,Non spécifié,Non spécifié,Non spécifié,CDI,"Bac+2, bac+3",5 an,"CAO, DAO, ERP, Inventor, SAP","Français, Anglais, English","Autonomie, Initiative, Organisation",https://www.dreamjob.ma/emploi/anapec-skills-recrutement-france/
Plusieurs Postes Disponibles chez Safran,Non spécifié,Casablanca,"Aéronautique, Métallurgie, Procédés",Non spécifié,"Bac+2, bac+3, bac+5",4 ans,"ANSYS, Patran, SAMCEF",Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/plusieurs-postes-disponibles-chez-safran/
Recrutement 10 Postes Salaires 7000 à 35000 Dhs,Non spécifié,Tanger,Procédés,CDI,"Bac+3, bac+4, bac+5",4 ans,"ANSYS, Autocad, Excel, VBA","Français, Francais, Anglais","Communication, Gestion de projet",https://www.dreamjob.ma/emploi/recrutement-10-postes-salaires-7000-a-35000-dhs/
Nouvelles Offres d’Emploi chez Safran,Non spécifié,Non spécifié,"Aéronautique, Procédés",Non spécifié,Non spécifié,Non spécifié,CAO,Non spécifié,Autonome,https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-safran/
Jacobs Engineering OCP recrute des Quality Control Managers,Jacobs Engineering OCP,Non spécifié,Construction,Non spécifié,Bac+4,5-10 ans,Non spécifié,Non spécifié,"Communication, Organisation",https://www.dreamjob.ma/emploi/jacobs-engineering-ocp-recrute-des-quality-control-managers/
MAFODER Group recrute Plusieurs Profils,MAFODER Group,Non spécifié,Métallurgie,Non spécifié,"Bac+3, bac+4, bac+5",30 an,Excel,"Français, Anglais","Autonome, Autonomie, Communication, Force de proposition, Initiative, Organisation, Relationnel",https://www.dreamjob.ma/emploi/mafoder-group-recrute-plusieurs-profils/
Nomatis recrute Plusieurs Profils,Nomatis,Casablanca,Non spécifié,Non spécifié,Bac+2,3 ans,Non spécifié,Non spécifié,"Autonomie, Communication, Force de proposition, Gestion de projet, Organisation, Organisé, Relationnel",https://www.dreamjob.ma/emploi/nomatis-recrute-plusieurs-profils/
Groupe Le Matin recrute Plusieurs Profils,Groupe Le Matin,Casablanca,Procédés,Non spécifié,"Bac+2, bac+4, bac+5",2 à 5 ans,Modélisation,Non spécifié,"Communication, Créativité, Force de proposition, Innovation, Organisation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/groupe-le-matin-recrute-plusieurs-profils/
Construction Management Services recrute plusieurs profils,Construction Management Services,Non spécifié,"Btp, Construction",Stage,"Bac+2, bac+3, bac+5",5 ans,"Autocad, Ms project, SQL","Français, Anglais, Arabe","Communication, Force de proposition, Gestion de projet, Organisation, Relationnel, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/construction-management-services-recrute-plusieurs-profils/
Recrutement de 75 techniciens salaire 3000 à 5000 dhs,Non spécifié,Non spécifié,Non spécifié,CDI,Bac+2,3 ans,"Autocad, Excel, Modélisation","Français, Francais, Anglais, Arabe","Autonomie, Communication, Initiative, Organisation",https://www.dreamjob.ma/emploi/recrutement-de-75-techniciens-salaire-3000-a-5000-dhs/
Résultats Définitifs Concours RADEEMA 2021 (48 postes),Non spécifié,Marrakech,Chimie,Non spécifié,"Bac+2, bac+4",2 ans,Non spécifié,Non spécifié,"Autonome, Autonomie, Organisation",https://www.dreamjob.ma/emploi-public/concours-recrutement-radeema-2021/
Concours de Recrutement Autoroutes du Maroc (4 Postes),Non spécifié,Non spécifié,Non spécifié,Non spécifié,Bac+5,08 ans,Non spécifié,Non spécifié,"Autonomie, Communication, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/concours-de-recrutement-autoroutes-du-maroc-4-postes/
Résultats concours de recrutement ONCF 2021 (68 Postes),Non spécifié,Non spécifié,"Construction, Ferroviaire, Logistique",Non spécifié,Non spécifié,15 ans,Non spécifié,Non spécifié,"Autonomie, Communication, Innovation",https://www.dreamjob.ma/emploi-public/concours-de-recrutement-oncf-2021-68-postes/
Quality Bean Morocco recrute plusieurs profils,Quality Bean Morocco,Non spécifié,Agroalimentaire,CDI,"Bac+2, bac+3, bac+5",3ans,"AMDEC, Kaizen","Français, Anglais","Gestion de projet, Organisation, Proactivité, Rigueur",https://www.dreamjob.ma/emploi/quality-bean-morocco-recrute-plusieurs-profils/
Anapec Laayoune recrute plusieurs profils salaire 6000 à 10000 dhs,Anapec Laayoune,Non spécifié,"Construction, Logistique",CDD,Non spécifié,3  ans,"Autocad, CAO, CATIA, DAO, GMAO, SQL",Anglais,"Autonomie, Initiative, Organisation",https://www.dreamjob.ma/emploi/anapec-laayoune-recrute-plusieurs-profils-salaire-6000-a-10000-dhs/
مباراة توظيف 68 منصب بالمكتب الوطني للسكك الحديدية,Non spécifié,Non spécifié,Logistique,Non spécifié,Non spécifié,35 ans,Non spécifié,Non spécifié,"Communication, Innovation",https://www.dreamjob.ma/alwadifa/%d9%85%d8%a8%d8%a7%d8%b1%d8%a7%d8%a9-%d8%aa%d9%88%d8%b8%d9%8a%d9%81-68-%d9%85%d9%86%d8%b5%d8%a8-%d8%a8%d8%a7%d9%84%d9%85%d9%83%d8%aa%d8%a8-%d8%a7%d9%84%d9%88%d8%b7%d9%86%d9%8a-%d9%84%d9%84%d8%b3%d9%83/
Nouvelles Offres d’Emploi chez Colorado,Non spécifié,Dar Bouazza,Chimie,Non spécifié,"Bac+2, bac+3",2 ans,Non spécifié,Non spécifié,"Créativité, Force de proposition, Initiative, Innovation, Organisation, Proactivité, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-colorado/
Zinelec Group recrute Plusieurs Profils,Zinelec Group,Casablanca,"Construction, Procédés",Non spécifié,Non spécifié,3 ans,"Autocad, CATIA, SOLIDWORKS","Français, Arabe","Autonome, Communication, Initiative, Leadership, Organisation, Relationnel",https://www.dreamjob.ma/emploi/zinelec-group-recrute-plusieurs-profils/
Synorys Technologies recrute Plusieurs Profils,Synorys Technologies,Non spécifié,"Aéronautique, Logistique",Non spécifié,"Bac+2, bac+5",3 ans,Non spécifié,Français,Non spécifié,https://www.dreamjob.ma/emploi/synorys-technologies-recrute-plusieurs-profils/
Nouvelles Offres d’Emploi chez Bel,Non spécifié,Non spécifié,"Agroalimentaire, Logistique, Procédés",Stage,"Bac+4, bac+5",5 ans,"Excel, SAP","Français, Anglais, Arabe","Communication, Organisation",https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-bel/
PETROM recrute Plusieurs Profils,PETROM,Non spécifié,Non spécifié,Non spécifié,"Bac+3, bac+4",70 ans,SAP,Français,"Adaptabilité, Communication, Initiative, Innovation, Leadership, Organisation, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/petrom-recrute-plusieurs-profils/
Nouvelles Offres d’Emploi chez Lamalif Group,Non spécifié,Non spécifié,"Construction, Logistique, Énergie",Non spécifié,"Bac+2, bac+3, bac+5",4 ans,"Autocad, Automatisme, CATIA, Lean, Modélisation, SOLIDWORKS","Français, Anglais","Communication, Créativité, Force de proposition, Gestion de projet, Relationnel",https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-lamalif-group/
Résultats Définitifs Concours RADEEMA (40 Postes),Non spécifié,Marrakech,Non spécifié,Non spécifié,"Bac+2, bac+4",4 an,Non spécifié,Non spécifié,"Autonome, Autonomie, Organisation",https://www.dreamjob.ma/emploi-public/concours-recrutement-radeema-40-postes/
55 Offres d’Emploi sur Plusieurs Villes – N°282 KEEP,Non spécifié,Non spécifié,"Automobile, Aéronautique, Logistique, Procédés",CDI,"Bac+2, bac+4, bac+5",2 ans,"AMDEC, CATIA, Excel, SQL","Français, Anglais, Arabe","Autonomie, Communication, Organisation",https://www.dreamjob.ma/emploi/55-offres-demploi-n282/
Concours ONEE Branche Eau 2021 (14 Postes),Non spécifié,Non spécifié,Procédés,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-onee-branch-eau-2021-14-postes/
PSA Peugeot Citroën recrute Plusieurs Profils,PSA Peugeot Citroën,Non spécifié,Automobile,Non spécifié,"Bac+2, bac+4, bac+5",3 à 5 ans,"Excel, Kaizen",Français,"Adaptabilité, Autonome, Autonomie, Communication, Force de proposition, Initiative, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/psa-peugeot-citroen-recrute-plusieurs-profils/
SOFRENOR recrute Plusieurs Profils,SOFRENOR,Non spécifié,"Construction, Procédés, Énergie",Non spécifié,"Bac+2, bac+4, bac+5",3 ans,"Autocad, RDM, SOLIDWORKS",Non spécifié,"Autonomie, Communication, Initiative, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/sofrenor-recrute-plusieurs-profils/
Oxycoupe recrute Plusieurs Profils,Oxycoupe,El Jadida,Construction,Non spécifié,Non spécifié,3-5 ans,"5S, Ms project",Non spécifié,"Communication, Force de proposition, Gestion de projet, Leadership, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/oxycoupe-recrute-plusieurs-profils/
Kia Motors Candidature Spontanée,Non spécifié,Non spécifié,Automobile,Non spécifié,"Bac+2, bac+3, bac+4",3-5 ans,Non spécifié,"Français, Anglais","Autonome, Force de proposition, Leadership, Organisation",https://www.dreamjob.ma/emploi/kia-motors-candidature-spontanee/
Continental recrute Plusieurs Profils,Continental,Non spécifié,"Automobile, Construction, Logistique",CDI,Bac+5,6 ans,"ERP, PPAP","Français, Anglais","Communication, Flexibilité, Innovation, Organisation",https://www.dreamjob.ma/emploi/continental-recrute-plusieurs-profils/
Deo Conseil International recrute Plusieurs Profils,Deo Conseil International,Non spécifié,"Agroalimentaire, Aéronautique, Logistique",CDI,"Bac+2, bac+3, bac+5",1 à 2 ans,"5S, Automatisme, ERP, Excel, GMAO","Français, Arabe","Force de proposition, Organisation, Polyvalence",https://www.dreamjob.ma/emploi/deo-conseil-international-recrute-plusieurs-profils/
Flowserve recrute Plusieurs Profils,Flowserve,Safi,"Logistique, Énergie",Non spécifié,Non spécifié,150 ans,Excel,"Français, Anglais","Autonome, Communication, Initiative, Innovation, Leadership, Organisation, Réactivité, Résolution de problèmes",https://www.dreamjob.ma/emploi/flowserve-recrute-plusieurs-profils/
Daher recrute Plusieurs Profils,Daher,Non spécifié,Aéronautique,Non spécifié,"Bac+2, bac+5",6 ans,"Automatisme, Lean",Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/daher-recrute-plusieurs-profils/
Committed Experts recrute Plusieurs Profils,Committed Experts,Non spécifié,"Automobile, Aéronautique, Métallurgie",CDD,Bac+5,Non spécifié,Non spécifié,Anglais,Non spécifié,https://www.dreamjob.ma/emploi/committed-experts-recrute-plusieurs-profils/
SEGULA Technologies recrute des Conducteurs Essayeurs Automobile,SEGULA Technologies,Non spécifié,"Automobile, Aéronautique, Ferroviaire, Naval, Énergie",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Français,Innovation,https://www.dreamjob.ma/emploi/segula-technologies-recrute-des-conducteurs-essayeurs-automobile/
Pneurama recrute Plusieurs Profils,Pneurama,Casablanca,Automobile,CDI,Bac+4,2 à 5 ans,Excel,Français,"Autonome, Autonomie, Organisation, Relationnel, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/pneurama-recrute-plusieurs-profils/
Advanced Vision Morocco recrute Plusieurs Profils,Advanced Vision Morocco,Non spécifié,"Construction, Énergie",Non spécifié,Bac+5,5 ans,Non spécifié,English,"Communication, Gestion de projet",https://www.dreamjob.ma/emploi/advanced-vision-morocco-recrute-plusieurs-profils/
"NTC recrute Plusieurs Profils sur Casablanca, Rabat et Fès",NTC,Casablanca,"Automobile, Aéronautique",Non spécifié,Bac+5,3 ans,"MATLAB, SIMULINK",Non spécifié,"Communication, Organisation, Polyvalence, Proactivité, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/ntc-recrute-plusieurs-profils-casablanca-rabat-fes/
NTC recrute Plusieurs Profils,NTC,Non spécifié,"Automobile, Aéronautique",Non spécifié,Non spécifié,3 ans,Non spécifié,Non spécifié,"Communication, Polyvalence, Proactivité",https://www.dreamjob.ma/emploi/ntc-emploi-recrutement/ntc-recrute-plusieurs-profils/
Zodiac Aerospace recrute Plusieurs Profils,Zodiac Aerospace,Non spécifié,"Logistique, Procédés",Non spécifié,Bac+5,4 ans,Lean,"Français, Anglais","Flexibilité, Leadership, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/zodiac-aerospace-recrute-plusieurs-profils/
Dekra Services recrute Plusieurs Profils,Dekra Services,Non spécifié,"Automobile, Aéronautique, Construction",Intérim,"Bac+3, bac+4, bac+5",80 an,"ERP, SQL","Français, Anglais, Arabe","Autonome, Autonomie, Communication, Organisé, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/dekra-services-emploi-recrutement/dekra-services-recrute-plusieurs-profils/
Kia Motors recrute Plusieurs Profils,Kia Motors,Non spécifié,Automobile,Non spécifié,"Bac+2, bac+3, bac+4",3-5 ans,Non spécifié,Anglais,"Autonome, Force de proposition, Leadership, Organisation",https://www.dreamjob.ma/emploi/kia-motors-emploi-et-recrutement/kia-motors-recrute-plusieurs-profils/
Maghreb Steel recrute Plusieurs Profils,Maghreb Steel,Non spécifié,Non spécifié,Non spécifié,Bac+5,5 ans,"Automatisme, SQL",Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/maghreb-steel-recrute-plusieurs-profils/
Offres d’emploi à Casablanca : Hikma cherche des profils seniors et juniors,Offres d’emploi à Casablanca : Hikma,Casablanca,Pharmaceutique,Non spécifié,Bac+5,10 ans,Non spécifié,"Français, Anglais, Arabe","Gestion de projet, Innovation, Leadership",https://www.dreamjob.ma/emploi/offres-demploi-a-casablanca-hikma-cherche-des-profils-seniors-et-juniors/
Safran Engineering Services recrute Plusieurs Profils pour 2024,Safran Engineering Services,Casablanca,Aéronautique,Stage,Non spécifié,Non spécifié,Fabrication additive,Non spécifié,Innovation,https://www.dreamjob.ma/emploi/safran-engineering-services-recrute-plusieurs-profils-pour-2024/
Safran offre des Stages PFE dans Plusieurs Domaines,Non spécifié,Casablanca,Aéronautique,Stage,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Communication, Innovation",https://www.dreamjob.ma/stage/safran-offre-des-stages-pfe-dans-plusieurs-domaines/
AGC Automotive recrute de Nouveaux Profils,AGC Automotive,Kénitra,"Automobile, Chimie",Non spécifié,"Bac+2, bac+3",100 ans,Non spécifié,Anglais,"Autonome, Communication, Relationnel, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/agc-automotive-recrute-de-nouveaux-profils/
Concours ONEE Branche Eau 2023 (18 Postes),Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-recrutement-onee-branche-eau-2023/
Nouvelles Offres d’Emploi chez LafargeHolcim,Non spécifié,Non spécifié,"Construction, Procédés, Énergie",Non spécifié,Bac+5,2 à 4 ans,Non spécifié,Non spécifié,"Innovation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-lafargeholcim/
UTAC recrute Plusieurs Profils 2023,UTAC,Oued Zem,Automobile,Non spécifié,Non spécifié,20 ans,Non spécifié,Non spécifié,Autonome,https://www.dreamjob.ma/emploi/utac-recrute-plusieurs-profils-2023/
Safran recrute Plusieurs Profils 2023,Safran,Non spécifié,Aéronautique,Non spécifié,Non spécifié,Non spécifié,"Lean, Lean manufacturing",Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/safran-recrute-plusieurs-profils-2023/
Joyson Safety Systems recrute Plusieurs Profils,Joyson Safety Systems,Non spécifié,"Automobile, Énergie",Stage,Bac+2,2 ans,Non spécifié,"Français, Anglais","Communication, Innovation",https://www.dreamjob.ma/emploi/joyson-safety-systems-recrute-plusieurs-profils/
Résultats Concours de Recrutement SNTL 2021 (64 Postes),Non spécifié,Non spécifié,Logistique,Non spécifié,Non spécifié,5 ans,Non spécifié,Non spécifié,"Communication, Initiative, Organisé",https://www.dreamjob.ma/emploi/concours-de-recrutement-sntl-2021/
Tractafric recrute plusieurs profils,Tractafric,Non spécifié,"Btp, Construction, Logistique, Minier, Énergie",Non spécifié,"Bac+2, bac+3, bac+4, bac+5",80 ans,Non spécifié,"Français, Anglais","Autonomie, Communication, Créativité, Flexibilité, Initiative, Organisation, Polyvalence, Proactivité, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/tractafric-recrute-plusieurs-profils/
Macobate recrute des Chargés d’Affaires,Macobate,Rabat,Procédés,Non spécifié,Non spécifié,5 ans,Automatisme,Français,"Innovation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/macobate-recrute-des-charges-daffaires/
Les Grands Travaux Routiers GTR recrute Plusieurs Profils,Les Grands Travaux Routiers GTR,Non spécifié,Construction,Stage,"Bac+2, bac+5",10 ans,Non spécifié,Anglais,Organisation,https://www.dreamjob.ma/emploi/les-grands-travaux-routiers-gtr-recrute-plusieurs-profils/
DIORH recrute Plusieurs Profils,DIORH,Non spécifié,"Automobile, Chimie, Construction, Logistique, Procédés",Non spécifié,"Bac+4, bac+5",10 à 15 ans,"Excel, SAP","Français, Anglais, English, Arabe","Adaptabilité, Autonome, Autonomie, Force de proposition, Innovation, Leadership, Proactivité, Relationnel",https://www.dreamjob.ma/emploi/diorh-emploi-recrutement/diorh-recrute-plusieurs-profils/
AVL Maroc propose plusieurs opportunités pour les jeunes diplômés,Non spécifié,Non spécifié,Automobile,Stage,Non spécifié,Non spécifié,Modélisation,"Français, Anglais","Adaptabilité, Innovation, Organisation, Proactivité, Résolution de problèmes",https://www.dreamjob.ma/emploi/avl-maroc-propose-plusieurs-opportunites-pour-les-jeunes-diplomes/
4 opportunités disponibles chez VINCI en CDI et VIE,Non spécifié,Laâyoune,"Btp, Construction, Logistique, Énergie",CDI,Bac+5,18 à 28 ans,Non spécifié,"Français, Anglais, Arabe","Adaptabilité, Autonomie, Leadership, Organisation, Proactivité, Relationnel, Travail en équipe",https://www.dreamjob.ma/emploi/4-opportunites-disponibles-chez-vinci-en-cdi-et-vie/
Postes à saisir chez G3C à Casablanca,Non spécifié,Casablanca,"Btp, Construction, Logistique",CDI,Non spécifié,5 ans,Non spécifié,Non spécifié,"Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/postes-a-saisir-chez-g3c-a-casablanca/
7 Opportunités disponibles chez Air Arabia à Casablanca et Tanger,Non spécifié,Casablanca,Aéronautique,Non spécifié,"Bac+2, bac+3, bac+5",2 ans,Non spécifié,"Français, Anglais, Arabe","Communication, Résolution de problèmes",https://www.dreamjob.ma/emploi/7-opportunites-disponibles-chez-air-arabia-a-casablanca-et-tanger/
"Recrutement APM Terminals, profils qualifiés recherchés",Non spécifié,Tanger,Logistique,Non spécifié,Non spécifié,5 ans,"Automatisme, Lean",Anglais,"Communication, Leadership",https://www.dreamjob.ma/emploi/recrutement-apm-terminals-profils-qualifies-recherches/
Super Auto Group recrute 4 profils clés dans l’automobile,Super Auto Group,Rabat,Automobile,Non spécifié,"Bac+2, bac+3, bac+5",2 ans,Non spécifié,"Français, Anglais","Communication, Leadership, Organisation, Relationnel",https://www.dreamjob.ma/emploi/super-auto-group-recrute-4-profils-cles-dans-lautomobile/
SEBN Bouknadel recrute deux experts automobile,SEBN Bouknadel,Non spécifié,Automobile,Non spécifié,Bac+5,10 ans,"5S, APQP, Lean, Lean manufacturing, PPAP, SPC","Français, Anglais","Leadership, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/sebn-bouknadel-recrute-deux-experts-automobile/
"Concours de Recrutement Collectivités Territoriales 2025, des centaines de postes à pourvoir",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-collectivites-territoriales-2025-des-centaines-de-postes-a-pourvoir/
Offres d’emploi – Proma Industrie secteur automobile,Non spécifié,Kénitra,"Automobile, Chimie, Logistique, Procédés",Non spécifié,"Bac+2, bac+3, bac+5",Non spécifié,"AMDEC, CATIA, Excel, SAP, SPC",Non spécifié,"Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-proma-industrie-secteur-automobile/
Concours de Recrutement Ministère de l’Equipement et de l’Eau 2025 (12 Maîtres de conférences),Non spécifié,Non spécifié,"Chimie, Construction, Logistique, Procédés, Recherche scientifique",Non spécifié,Non spécifié,Non spécifié,Modélisation,Non spécifié,"Initiative, Innovation",https://www.dreamjob.ma/emploi-public/concours-de-recrutement-ministere-de-lequipement-et-de-leau-2025-12-maitres-de-conferences/
SCIF recrute en CDI: postes d’Acheteurs Projets ouverts,SCIF,Non spécifié,"Ferroviaire, Logistique",CDI,Non spécifié,1 an,ERP,Anglais,"Communication, Organisation",https://www.dreamjob.ma/emploi/scif-recrute-en-cdi-postes-dacheteurs-projets-ouverts/
"Travailler à l’Étranger pour les Marocains: Opportunités, Défis et Conseils",Non spécifié,Non spécifié,Non spécifié,Stage,Non spécifié,Non spécifié,Non spécifié,Anglais,Non spécifié,https://www.dreamjob.ma/guides/travailler-a-letranger/
